name,price,stock
2020 Toyota Highlander Hybrid XLE," $45,393",LS513875
2020 Toyota 4Runner TRD Off Road Premium," $44,768",L5827355
2020 Toyota Highlander Limited," $45,104",LS041401
2020 Toyota 4Runner TRD Off Road Premium," $44,768",L5825132
2020 Toyota 4Runner TRD Off Road Premium," $44,628",L5830271
2020 Toyota Highlander Hybrid XLE," $44,353",LS513995
2020 Toyota Highlander Hybrid XLE," $44,402",LS34D132
2020 Toyota Highlander Hybrid XLE," $44,353",LS512824
2020 Toyota 4Runner TRD Off Road Premium," $43,070",L5828154
2020 Toyota Tacoma TRD Sport Double Cab 6' Bed V6 AT," $43,828",LM092674
2020 Toyota 4Runner SR5 Premium," $41,520",L5757534
2020 Toyota 4Runner SR5," $41,255",L5831204
2020 Toyota Highlander XLE," $41,244",LS037581
2020 Toyota Highlander Platinum," $47,529",LS050357
2020 Toyota Highlander Hybrid XLE," $45,812",LS506934
2020 Toyota Highlander Platinum," $47,617",LS049842
2020 Toyota Sequoia SR5," $56,869",LS179930
2020 Toyota Sequoia Limited," $63,832",LS179958
2020 Toyota Tundra Limited CrewMax 5.5' Bed 5.7L," $50,856",LX951653
2020 Toyota Highlander Platinum," $47,040",LS054151
2020 Toyota 4Runner Limited," $47,006",L5823902
2020 Toyota Highlander Platinum," $47,418",LS050040
2020 Toyota Highlander Platinum," $46,986",LS040268
2020 Toyota 4Runner Limited," $45,949",L5828430
2020 Toyota Tacoma TRD Pro Double Cab 5' Bed V6 AT," $46,665",LX235255A
2020 Toyota Tundra SR5 CrewMax 5.5' Bed 5.7L," $50,211",LX952125
2020 Toyota Highlander Hybrid XLE," $45,818",LS510606
